2012-5-14,13:45:00,2012-5-14,13:45:00,+6,66,Meters
2012-5-14,14:00:00,2012-5-14,14:00:00,+6,43,Meters
2012-5-14,14:15:00,2012-5-14,14:15:00,+6,19,Meters
2012-5-14,14:30:00,2012-5-14,14:30:00,+5,92,Meters
2012-5-14,14:45:00,2012-5-14,14:45:00,+5,65,Meters
2012-5-14,15:00:00,2012-5-14,15:00:00,+5,37,Meters
2012-5-14,15:15:00,2012-5-14,15:15:00,+5,09,Meters
2012-5-14,15:30:00,2012-5-14,15:30:00,+4,81,Meters
2012-5-14,15:45:00,2012-5-14,15:45:00,+4,54,Meters
2012-5-14,16:00:00,2012-5-14,16:00:00,+4,28,Meters
2012-5-14,16:15:00,2012-5-14,16:15:00,+4,03,Meters
2012-5-14,16:30:00,2012-5-14,16:30:00,+3,81,Meters
2012-5-14,16:45:00,2012-5-14,16:45:00,+3,60,Meters
2012-5-14,17:00:00,2012-5-14,17:00:00,+3,42,Meters
2012-5-14,17:15:00,2012-5-14,17:15:00,+3,27,Meters
2012-5-14,17:30:00,2012-5-14,17:30:00,+3,15,Meters
2012-5-14,17:45:00,2012-5-14,17:45:00,+3,05,Meters
2012-5-14,18:00:00,2012-5-14,18:00:00,+2,99,Meters
2012-5-14,18:15:00,2012-5-14,18:15:00,+2,96,Meters
2012-5-14,18:30:00,2012-5-14,18:30:00,+2,96,Meters
2012-5-14,18:45:00,2012-5-14,18:45:00,+2,99,Meters
2012-5-14,19:00:00,2012-5-14,19:00:00,+3,05,Meters
2012-5-14,19:15:00,2012-5-14,19:15:00,+3,15,Meters
2012-5-14,19:30:00,2012-5-14,19:30:00,+3,27,Meters
2012-5-14,19:45:00,2012-5-14,19:45:00,+3,42,Meters
2012-5-14,20:00:00,2012-5-14,20:00:00,+3,60,Meters
2012-5-14,20:15:00,2012-5-14,20:15:00,+3,80,Meters
2012-5-14,20:30:00,2012-5-14,20:30:00,+4,03,Meters
2012-5-14,20:45:00,2012-5-14,20:45:00,+4,29,Meters
2012-5-14,21:00:00,2012-5-14,21:00:00,+4,56,Meters
2012-5-14,21:15:00,2012-5-14,21:15:00,+4,85,Meters
2012-5-14,21:30:00,2012-5-14,21:30:00,+5,15,Meters
2012-5-14,21:45:00,2012-5-14,21:45:00,+5,45,Meters
2012-5-14,22:00:00,2012-5-14,22:00:00,+5,76,Meters
2012-5-14,22:15:00,2012-5-14,22:15:00,+6,06,Meters
2012-5-14,22:30:00,2012-5-14,22:30:00,+6,36,Meters
2012-5-14,22:45:00,2012-5-14,22:45:00,+6,64,Meters
2012-5-14,23:00:00,2012-5-14,23:00:00,+6,89,Meters
2012-5-14,23:15:00,2012-5-14,23:15:00,+7,12,Meters
2012-5-14,23:30:00,2012-5-14,23:30:00,+7,32,Meters
2012-5-14,23:45:00,2012-5-14,23:45:00,+7,48,Meters
2012-5-15,00:00:00,2012-5-15,00:00:00,+7,61,Meters
2012-5-15,00:15:00,2012-5-15,00:15:00,+7,69,Meters
2012-5-15,00:30:00,2012-5-15,00:30:00,+7,74,Meters
2012-5-15,00:45:00,2012-5-15,00:45:00,+7,74,Meters
2012-5-15,01:00:00,2012-5-15,01:00:00,+7,71,Meters
2012-5-15,01:15:00,2012-5-15,01:15:00,+7,63,Meters
2012-5-15,01:30:00,2012-5-15,01:30:00,+7,52,Meters
2012-5-15,01:45:00,2012-5-15,01:45:00,+7,37,Meters
2012-5-15,02:00:00,2012-5-15,02:00:00,+7,19,Meters
2012-5-15,02:15:00,2012-5-15,02:15:00,+6,98,Meters
2012-5-15,02:30:00,2012-5-15,02:30:00,+6,74,Meters
2012-5-15,02:45:00,2012-5-15,02:45:00,+6,47,Meters
2012-5-15,03:00:00,2012-5-15,03:00:00,+6,18,Meters
2012-5-15,03:15:00,2012-5-15,03:15:00,+5,88,Meters
2012-5-15,03:30:00,2012-5-15,03:30:00,+5,57,Meters
2012-5-15,03:45:00,2012-5-15,03:45:00,+5,25,Meters
2012-5-15,04:00:00,2012-5-15,04:00:00,+4,93,Meters
2012-5-15,04:15:00,2012-5-15,04:15:00,+4,61,Meters
2012-5-15,04:30:00,2012-5-15,04:30:00,+4,30,Meters
2012-5-15,04:45:00,2012-5-15,04:45:00,+4,01,Meters
2012-5-15,05:00:00,2012-5-15,05:00:00,+3,74,Meters
2012-5-15,05:15:00,2012-5-15,05:15:00,+3,50,Meters
2012-5-15,05:30:00,2012-5-15,05:30:00,+3,28,Meters
2012-5-15,05:45:00,2012-5-15,05:45:00,+3,09,Meters
2012-5-15,06:00:00,2012-5-15,06:00:00,+2,94,Meters
2012-5-15,06:15:00,2012-5-15,06:15:00,+2,83,Meters
